id,name,position,team,points_2024,points_2025,rank
1,Jamaar Chase,WR,CIN,339.5,290.9,1
2,Saquon Barkley,RB,PHI,338.8,308,2
3,Bijan Robinson,RB,ATL,311.2,302.1,3
4,Jahmyr Gibbs,RB,DET,336.9,298.4,4
5,Justin Jefferson,WR,MIN,266,278,5
6,Puka Nacua,WR,LAR,167.1,271.3,6
7,CeeDee Lamb,WR,DAL,212.9,256.5,7
8,Nico Collins,WR ,HOU,176.6,250.8,8
9,Brian Thomas Jr.,WR,JAX,240.5,250.6,9
10,Amon-Ra St. Brown,WR,DET,258.7,242.3,10
11,Malik Nabers,WR,NYG,219.1,233.5,11
12,DeVon Achane,RB,MIA,260.9,284.6,12
13,Derrick Henry,RB,BAL,326.9,298.9,13
14,Christian McCaffrey,RB,SF,40.3,280.1,14
15,Ashton Jeanty,RB,R,0,272.7,15
16,Brock Bowers,TE,LV,206.7,210.2,16
17,Drake London,WR,ATL,230.8,229.9,17
18,Ladd McConkey,WR,LAC,199.9,224.9,18
19,A.J. Brown,WR,PHI,183.4,212.2,19
20,Jonathan Taylor,RB,IND,235.7,250.5,20
21,Josh Jacobs,RB,GB,275.1,248.3,21
22,Bucky Irving,RB,TB,220.9,240.6,22
23,Chase Brown,RB,CIN,228,235,23
24,Tee Higgins,WR,CIN,185.6,208.9,24
25,Breece Hall,RB,NYJ,212.4,224.9,25
26,Terry McLaurin,WR,WAS,226.8,222.4,26
27,Tyreek Hill,WR,MIA,177.7,201,27
28,Lamar Jackson,QB,BAL,434.4,410,28
29,Josh Allen,QB,BUF,385,388,29
30,Mike Evans,WR,TB,203.4,209.6,30
31,Jaxon Smith Njigba,WR,SEA,203,200.1,31
32,Garret Wilson,WR,NYJ,201.4,198.5,32
33,Trey McBride,TE,ARI,194.3,193.9,33
34,James Cook,RB,BUF,250.7,212.4,34
35,Joe Mixon,RB,HOU,222.5,210.6,35
36,Kyren Williams,RB,LAR,255.1,215.9,36
37,Chuba Hubbard,RB,CAR,220.1,210.2,37
38,DJ Moore,WR,CHI,189.1,190.5,38
39,Marvin Harrison Jr.,WR,ARI,165.5,178.5,39
40,Jayden Daniels,QB,WAS,364.8,371.2,40
41,Xavier Worthy,WR,KC,157.7,170.8,41
42,Devonta Smith,WR ,PHI,165.4,174.9,42
43,George Kittle,TE,SF,197.6,189.9,43
44,Zay Flowers,WR,BAL,172.5,177.3,44
45,Jalen Hurts,QB,PHI,320.1,355.4,45
46,Jameson Williams,WR,DET,183.2,174.3,46
47,Rashee Rice,WR,KC,52.9,145.5,47
48,Joe Burrow,QB,CIN,381.8,355.1,48
49,Rome Odunze,WR,CHI,117.9,167.8,49
50,Tetairoa McMillan,WR,R,0,162.9,50
51,DK Metcalf,WR,SEA,158.2,166.3,51
52,Chris Olave,WR,NO,60.7,164.2,52
53,Davante Adams,WR,NYJ,198.8,165.2,53
54,Jordan Addison,WR,MIN,181,165.1,54
55,Alvin Kamara,RB,NO,231.3,198.8,55
56,Jaylen Waddle,WR,MIA,120.6,163.3,56
57,Courtland Sutton,WR,DEN,199.8,184.2,57
58,Omarion Hampton,RB,R,0,188.9,58
59,Kenneth Walker,RB,SEA,158.2,181.2,59
60,George Pickens,WR,PIT,134.9,158.2,60
61,Jerry Jeudy,WR,CLE,195.9,162.3,61
62,David Montgomery,RB,DET,203.7,180.1,62
63,Sam Laporta,TE,DET,144.6,169.8,63
64,Kaleb Johnson,RB,R,0,177.3,64
65,Chris Godwin,WR,TB,112.8,160.8,65
66,James Conner,RB,ARI,230.3,188.9,66
67,Tyrone Tracy Jr.,RB ,NYG,163.3,177.6,67
68,Luther Burden III,WR,R,0,155.9,68
69,Jayden Reed,WR,GB,169.5,150.5,69
70,Deebo Samuel,WR,SF,128.1,160.6,70
71,Calvin Ridley,WR,TEN,167.2,165.5,71
72,Khalil Shakir,WR,BUF,144.5,154.9,72
73,T.J. Hockenson,TE,MIN,66,158.1,73
74,TreVeyon Henderson,RB,R,0,175.9,74
75,Patrick Mahomes,QB,KC,293.5,325.9,75
76,Brandon Aiyuk,WR,SF,49.9,139.4,76
77,Jakobi Meyers,WR,LV,174.5,150.2,77
78,Jauan Jennings,WR,SF,172,140.2,78
